doc_id,file_name,disaster_type,section_title,content
doc_철도·지하철 사고 국민행동요령_0,철도·지하철 사고 국민행동요령,철도·지하철사고,,"# 국민재난안전포털 철도·지하철 사고 국민행동요령 (2025)

**국토교통부 & 행정안전부 발행**

---"
doc_철도·지하철 사고 국민행동요령_1,철도·지하철 사고 국민행동요령,철도·지하철사고,철도·지하철 사고 개요,
doc_철도·지하철 사고 국민행동요령_2,철도·지하철 사고 국민행동요령,철도·지하철사고,# 사고의 위험성,"철도·지하철 사고는 **폐쇄된 공간에서 다수 인원이 탑승**하고 있어 **신속한 대피와 침착한 대응**이 매우 중요합니다. 화재, 충돌, 테러 등 다양한 상황에 대비해야 합니다."
doc_철도·지하철 사고 국민행동요령_3,철도·지하철 사고 국민행동요령,철도·지하철사고,# 대피의 기본 원칙,"- **승무원 및 안내방송 따르기**
- **질서 있는 행동**
- **안전취약계층 먼저 대피**
- **선로 진입 주의**

---"
doc_철도·지하철 사고 국민행동요령_4,철도·지하철 사고 국민행동요령,철도·지하철사고,지하철 화재 발생 시,
doc_철도·지하철 사고 국민행동요령_5,철도·지하철 사고 국민행동요령,철도·지하철사고,# 1단계: 승무원 연락,"**비상버튼 이용:**
- **노약자·장애인석 옆에 있는 비상버튼을 눌러 승무원과 연락**
- 위치 정확히 알리기
- 상황 설명

**인터폰 이용:**
- 객실 양 끝에 있는 인터폰 이용
- 승무원에게 즉시 알리기"
doc_철도·지하철 사고 국민행동요령_6,철도·지하철 사고 국민행동요령,철도·지하철사고,# 2단계: 초기 소화,"**소화기 이용:**
- 여유가 있다면 **객차마다 2개씩 비치된 소화기를 이용하여 불을 끝**
- 소화기 위치 파악
- 불의 하단부 겨냥

**소화 불가 시:**
- 무리하게 소화 시도 금지
- 즉시 대피 전환"
doc_철도·지하철 사고 국민행동요령_7,철도·지하철 사고 국민행동요령,철도·지하철사고,# 3단계: 호흡기 보호,"**코와 입 가리기:**
- **코와 입을 수건, 티슈, 옷소매 등으로 막기**
- 젖은 천 사용 (가능할 경우)
- 연기 흡입 최소화

**호흡 관리:**
- 천천히, 얕게 호흡
- 신선한 공기 지역으로 이동"
doc_철도·지하철 사고 국민행동요령_8,철도·지하철 사고 국민행동요령,철도·지하철사고,# 4단계: 다른 객차로 이동,"**화재 미발생 객차로:**
- **화재가 발생하지 않은 다른 객실로 이동**
- 객차 연결부를 통해 이동
- 신속하지만 질서 있게"
doc_철도·지하철 사고 국민행동요령_9,철도·지하철 사고 국민행동요령,철도·지하철사고,# 5단계: 출입문 개방,"**자동 개방:**
- 열차 정지 후 자동으로 개방 대기

**수동 개방:**
- **출입문이 자동으로 열리지 않으면 수동으로 문을 열기**
- 수동 손잡이 사용

**비상용 망치:**
- **여의치 않으면 비상용 망치를 이용하여 유리창을 깨기**
- 유리 깨기 후 안전하게 탈출

**소화기로 유리 깨기:**
- **망치가 없으면 소화기로 유리창을 깨기**"
doc_철도·지하철 사고 국민행동요령_10,철도·지하철 사고 국민행동요령,철도·지하철사고,# 6단계: 스크린도어(PSD) 개방,"**빨간색 바 이용:**
- **스크린도어(PSD)가 열리지 않을 경우 스크린도어에 설치된 빨간색 바를 밀고 나가기**
- 위치 사전 파악
- 신속히 나가기"
doc_철도·지하철 사고 국민행동요령_11,철도·지하철 사고 국민행동요령,철도·지하철사고,# 7단계: 비상구로 대피,"**조명 확인:**
- 대피유도 등 확인
- 비상구 위치 파악

**정전 시:**
- **정전 시에는 대피유도 등을 따라 출구로 나가기**
- **유도등이 보이지 않을 때는 벽을 짚으면서 나가기**
- **시각장애인 안내용 보도블록을 따라 나가기**

**신속 대피:**
- **비상구로 신속히 대피합시다**
- 침착하고 질서 있게"
doc_철도·지하철 사고 국민행동요령_12,철도·지하철 사고 국민행동요령,철도·지하철사고,# 8단계: 지상 대피,"**지상으로 대피:**
- 가능한 한 지상으로 대피

**터널 대피:**
- **지상으로 대피가 여의치 않을 때는 전동차 진행방향 터널로 대피**
- 선로 진입 주의
- 반대편 열차 주의

---"
doc_철도·지하철 사고 국민행동요령_13,철도·지하철 사고 국민행동요령,철도·지하철사고,지하철 출입문 개방 방법,
doc_철도·지하철 사고 국민행동요령_14,철도·지하철 사고 국민행동요령,철도·지하철사고,# 수동으로 문 열기,"**수동 손잡이 위치:**
- 출입문 양쪽에 위치
- 사전 확인 필수

**개방 방법:**
1. 수동 손잡이를 찾기
2. 손잡이를 잡고 끌어당기거나 밀기
3. 문이 열려 신속히 탈출

**비상 상황:**
- 열차 정지 후 시도
- 무리하게 힘 쓰지 말기
- 다른 방법 시도"
doc_철도·지하철 사고 국민행동요령_15,철도·지하철 사고 국민행동요령,철도·지하철사고,# 비상용 망치 이용,"**망치 위치:**
- 출입문 근처에 설치
- 빨간색 케이스 안
- 사전 위치 파악

**유리 깨기 방법:**
1. 망치를 잡기
2. 유리 가장자리 또는 중앙을 강하게 치기
3. 깨진 유리 피해 탈출

**안전 주의:**
- 깨진 유리 파편 주의
- 손 보호
- 천천히 조심히 탈출"
doc_철도·지하철 사고 국민행동요령_16,철도·지하철 사고 국민행동요령,철도·지하철사고,# 스크린도어(PSD) 개방,"**손잡이 이용:**
- 양쪽 손잡이를 밀거나 당기기

**빨간색 바:**
- 스크린도어에 설치된 빨간색 바 확인
- 빨간색 바를 밀어 개방
- 신속히 탈출

---"
doc_철도·지하철 사고 국민행동요령_17,철도·지하철 사고 국민행동요령,철도·지하철사고,지하철 스크린도어(PSD) 개방,
doc_철도·지하철 사고 국민행동요령_18,철도·지하철 사고 국민행동요령,철도·지하철사고,# 정상 개방,"**자동 개방:**
- 열차 정지 시 자동으로 스크린도어 개방
- 대기"
doc_철도·지하철 사고 국민행동요령_19,철도·지하철 사고 국민행동요령,철도·지하철사고,# 수동 개방,"**손잡이 조작:**
1. **스크린도어 양쪽 손잡이를 양쪽으로 밀기**
2. 또는 당기기
3. 신속히 탈출

**빨간색 바 조작:**
1. **스크린도어에 설치된 빨간색 바 찾기**
2. **빨간색 바를 밀고 탈출**
3. 신속히 나가기

---"
doc_철도·지하철 사고 국민행동요령_20,철도·지하철 사고 국민행동요령,철도·지하철사고,지하철 일반 사고 대응,
doc_철도·지하철 사고 국민행동요령_21,철도·지하철 사고 국민행동요령,철도·지하철사고,# 기본 행동요령,"**승무원 연락:**
- **객실 양 끝에 있는 인터폰으로 승무원에게 알립니다**
- 상황 설명
- 지시 받기

**화재 신고:**
- **화재 발생 시 119에 신고**
- 위치 정확히
- 동시에 승무원에게도 알리기

**초기 소화:**
- **여유가 있다면 객실 양 끝에 비치된 소화기로 불을 끝**
- 무리하지 말기

**호흡기 보호:**
- **입과 코를 젖은 천으로 막고 화재가 발생하지 않은 다른 객실로 이동**
- 신속하게 이동
- 연기 회피"
doc_철도·지하철 사고 국민행동요령_22,철도·지하철 사고 국민행동요령,철도·지하철사고,# 대피 원칙,"**안내방송 준수:**
- **안내방송과 승무원의 안내에 따라 질서있게 대피합시다**
- 공식 지시 따르기

**약자 배려:**
- **부상자, 노약자, 임산부가 먼저 대피할 수 있도록 배려하고 돕습니다**
- 함께 대피
- 도움 제공

**출입문 개방:**
- **문이 열리지 않으면 열차가 멈춘 후에 안내방송에 따라 비상핸들이나 비상콕크를 돌려 문을 열고 탈출합니다**
- 승무원 지시 대기

**스크린도어:**
- **스크린도어는 손잡이를 양쪽으로 밀거나 빨간색 바를 밀고 탈출**
- 신속히"
doc_철도·지하철 사고 국민행동요령_23,철도·지하철 사고 국민행동요령,철도·지하철사고,# 선로 대피 시 주의,"**감전 위험:**
- **선로로 대피할 때에는, 감전위험이 있으므로 반드시 대피안내에 따라 반대편 선로의 열차 진입에 유의하며 대피합니다**
- 제3 레일 주의 (전기 위험)
- 반대편 열차 주시

**선로 위 이동:**
- 최소한의 선로 접촉
- 승무원 지시 따르기
- 신속하고 신중하게"
doc_철도·지하철 사고 국민행동요령_24,철도·지하철 사고 국민행동요령,철도·지하철사고,# 비상구 대피,"**유도등 따르기:**
- **대피할 때에는 대피 유도등을 따라 침착하게 비상구로 대피합니다**
- 조명 확인
- 방향 감각 유지

**정전 시:**
- 벽을 짚으며 이동
- 시각장애인용 보도블록 활용
- 다른 승객과 함께

---"
doc_철도·지하철 사고 국민행동요령_25,철도·지하철 사고 국민행동요령,철도·지하철사고,고속철도 탈선·충돌사고,
